Path,Read,Write,Deny
S:\,"Administrators, ARAFMI\Domain Admins, ARAFMI\GS-Services (Full Control), ARAFMI\GS-Services (Read Only), ARAFMI\GS-Services (Read-Write), NT AUTHORITY\IUSR","Administrators, ARAFMI\Domain Admins, ARAFMI\GS-Services (Full Control), ARAFMI\GS-Services (Read-Write), NT AUTHORITY\IUSR",
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_16.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_17.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_18.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_19.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_2.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_20.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_3.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_4.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_5.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_6.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_7.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_8.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Leisureplex Swimming group - July 17_9.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Swimming group Feb 2017 - June 17.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Swimming group Feb 2017 - June 17_1.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\Swimming group participant\~$rratha Swimming group Feb 2017 - June 17_2.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\~$rratha Gym Memberships - allocations 2017-2018.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\~$rratha Gym Memberships - allocations 2017-2018_1.docx,???,???,???
S:\.com.greenworldsoft.syncfolderspro.sb-16874211-1vMMNX\#recycle\10 - Client Coordination\Pilbara Respite\Karratha\~$rratha Gym Memberships - allocations 2017-2018_10.docx,???,???,???
